Name,Type
stackable blocks,Entity
scalability and brittleness issues,Entity
unstructured text corpora,Entity
internal knowledge,Entity
root nodes,Entity
toy KG,Entity
has_finding_site,Entity
entry points,Entity
undesired triples,Entity
Jiawei Sun,Entity
short chunks,Entity
baseline LLM KG,Entity
logical consistency of large language models in fact-checking,Entity
correct UMLS triple,Entity
Xiaohan Wang,Entity
KG generation,Entity
high-quality seed,Entity
core architectural challenge,Entity
Bilal Chughtai,Entity
imprecise logical inference,Entity
tail token ti,Entity
an entity-level KG and partition it into nested communities,Entity
Dan Qu,Entity
Proceedings of the Thirteenth International Conference on Learning Representations,Entity
Ca2+ homeostasis,Entity
correct UMLS triple from the same sentence,Entity
benchmark-based verification,Entity
vector embeddings for biomedical terms,Entity
embedding block,Entity
exponent,Entity
informativeness,Entity
ValidityScore 68.8%,Entity
renal disorder,Entity
relation list,Entity
ablation studies,Entity
RyR function,Entity
score(T),Entity
initial leaf embedding,Entity
black boxes,Entity
domain-appropriate tails,Entity
GraphMERT training,Entity
source entity,Entity
Rick Rejeleene,Entity
V,Entity
ER membrane,Entity
top 10 UMLS candidates,Entity
CulturaX: cleaned multilingual dataset for LLMs in 167 languages,Entity
cardiac development,Entity
preprocessing,Entity
generative AI approach for automating government report generation,Entity
"Hao Yang, Jinhui Li, Chen Zhang, Alejandro P. Sierra, Bin Shen",Entity
span masking,Entity
John Talburt,Entity
dataset sequences,Entity
Modern research on KG extraction,Entity
education,Entity
Large language models (LLMs),Entity
locality bias,Entity
expensive retraining or ad-hoc heuristics,Entity
completion,Entity
higher factuality and validity of triples,Entity
contextually filtered set of triples,Entity
node pairs,Entity
hierarchical graph attention network,Entity
h,Entity
Yuxi Bi,Entity
contextually irrelevant triples,Entity
Kevin Gimpel,Entity
Huajun Chen,Entity
remainder of this work,Entity
insulin/insulin-like growth factor 1 (IGF-1) signaling pathway,Entity
vocabularies,Entity
vocabulary distribution,Entity
Largest publicly available KGs,Entity
Kevin Swersky,Entity
Linked UMLS Entities,Entity
Pascal Hitzler et al.,Entity
Maximize diversity,Entity
protein synthesis,Entity
Linhao Luo et al.,Entity
tail completions,Entity
Modern pretraining corpora,Entity
LLM-generated KG,Entity
scaling laws for neural language models,Entity
required tail tokens,Entity
triple completion and link prediction,Entity
KG triples,Entity
Context and General truth case,Entity
Cèsar Ferri,Entity
DyKnow: dynamically verifying time-sensitive factual knowledge in LLMs,Entity
alignment among top-k tokens predicted within a leaf,Entity
neurosymbolic model,Entity
diabetes corpus,Entity
Y. Liu et al.,Entity
backbone model knowledge,Entity
frequent terms,Entity
Floyd-Warshall algorithm,Entity
leaf-masked prediction,Entity
reasoning challenge,Entity
Alexander Miller,Entity
"coverage, validity, and factuality of the KG",Entity
GraphMERT_higher_yes_proportion_than_LLM_KG,Entity
knowledge sparsity,Entity
manual inspection,Entity
graphical input,Entity
fluent rationales,Entity
osteoporosis (OP),Entity
75% seed knowledge removed,Entity
keywords,Entity
Neural approaches,Entity
final Linked UMLS Entities,Entity
GraphMERT extracted KG,Entity
vague or semantically weak completions,Entity
nomic-embed-text-v1,Entity
Table 13,Entity
similarity matching,Entity
initial tail token embedding ti,Entity
graph representation,Entity
faithful and interpretable large language model reasoning on graphs,Entity
Nicholas GoldowskyDill,Entity
logic-based AI,Entity
helper LLM,Entity
token-level MLM/MNM,Entity
high-quality domain-specific texts,Entity
brittleness,Entity
W_r,Entity
opportunities and challenges at the intersection of large language models and knowledge graphs,Entity
GraphRAG evaluation,Entity
AI & Society,Entity
complications,Entity
LLMs,Entity
High-quality domain-specific KG,Entity
initial leaf embeddings with derived semantic embeddings,Entity
GraphRAG indexing stage,Entity
graph structure encoded into input or modified attention module,Entity
Scalable automatic KG extraction,Entity
seed KG's vocabulary,Entity
Aaron Eberhart,Entity
Researchers,Entity
input graph sequences,Entity
KGs,Entity
syndromes,Entity
"Yann LeCun, Yoshua Bengio, and Geoffrey Hinton",Entity
simpler tail completions,Entity
UMLS,Entity
entity name,Entity
equivalent triples,Entity
head,Entity
language tasks,Entity
input,Entity
α = 0.55 and β = 0.67,Entity
λ,Entity
insulin-like growth factor 1 (IGF1),Entity
GraphMERT performance but maintains advantage over LLM KG,Entity
Native transformer self-attention module,Entity
inverse inference (reversal curse),Entity
interleaving phases,Entity
p,Entity
manually created sequence,Entity
retain_unique_triple_with_highest_score_when_matching_multiple_sequences,Entity
causal inference,Entity
"model size, dataset scale, and compute are large",Entity
syntactic structure and leverages syntactic information as context for semantic knowledge,Entity
MEDLINE journals,Entity
Tiejun Wang,Entity
"verification, interpretability, and explainability",Entity
leakage of ER Ca2+,Entity
node pair,Entity
graph node,Entity
factuality and coherence but risks catastrophic forgetting,Entity
"Wen Zhang, Jiaoyan Chen, Juan Li, Zezhong Xu, Jeff Z. Pan, Huajun Chen",Entity
valid link,Entity
token embeddings,Entity
transformer layers,Entity
Constructing a KG,Entity
graph transformer architectures,Entity
spurious correlations,Entity
Jose Manuel Gómez-Pérez,Entity
Alex Rizkowsky,Entity
E,Entity
scalability,Entity
Stackable blocks,Entity
exact reasoning,Entity
full GraphMERT KG configuration,Entity
Retrieval augmentation,Entity
Embedding-based approach,Entity
3.86%,Entity
head subject,Entity
set,Entity
Retrieve → LM variant,Entity
sentence,Entity
extracted KG,Entity
full model,Entity
Patrick Lewis,Entity
Contextual triple selection,Entity
top 40 triples per linked entity,Entity
modular neurosymbolic stack,Entity
surgical transplantation,Entity
A comprehensive survey on automatic knowledge graph construction,Entity
Isabelle Simpson,Entity
Reasoning,Entity
BIDER: Bridging knowledge inconsistency for retrieval-augmented LLMs,Entity
shortest-path linkage,Entity
continually improvable,Entity
syntactic root space,Entity
relation directions and categories,Entity
semantic graph nodes,Entity
fine-grained domain details,Entity
Yunzhi Yao,Entity
accuracy gain 1.7% to 3.7%,Entity
Kurt Shuster,Entity
reliability,Entity
relation embedding into input graph sequences,Entity
leaf embedding space,Entity
John D. Co-Reyes,Entity
"LLMs (e.g., Qwen3-32B)",Entity
LoRA: Low-rank adaptation of large language models,Entity
Embedding layer,Entity
Mindy Dai,Entity
syntactic space,Entity
shallow domain expertise,Entity
domain-agnostic principles,Entity
"International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10)",Entity
GraphMERT + KG,Entity
goals,Entity
Jeff Wu,Entity
GraphMERT users,Entity
injected leaf node,Entity
few-shot examples,Entity
Lu Zhou,Entity
Pandas,Entity
2024,Entity
They,Entity
reverse direction of relations,Entity
triple encodings,Entity
seed KG vocabulary,Entity
poorer coverage and loss of fine-grained details,Entity
Hatem Ghanem and Carlos Cruz,Entity
knowledge overlaps,Entity
BF16 precision,Entity
The symbol grounding problem,Entity
Gemini embedding model textembedding-004,Entity
Bartłomiej Tkacz,Entity
Type 2 Diabetes,Entity
Bishwamittra Ghosh,Entity
relation usage,Entity
embedding-based retrieval,Entity
symbolic approach,Entity
GraphMERT implementation,Entity
"272,346 triples",Entity
Maximize diversity procedure,Entity
0.5,Entity
Sarah Hasan,Entity
search,Entity
12 hidden layers,Entity
cleaning,Entity
intra-relation attention,Entity
LeakyReLU,Entity
Knowledge graphs (KGs),Entity
semantic relations,Entity
sequences of origin,Entity
ontological alignment,Entity
Can LLMs be good graph judge for knowledge graph construction?,Entity
chain graph roots,Entity
LLM-based KG extraction,Entity
article conclusion,Entity
Artur d'Avila Garcez and Luís C. Lamb,Entity
diversified injected relations,Entity
GraphRAG querying stage,Entity
vendor-recommended sampling parameters,Entity
Maximize score then diversity,Entity
relations,Entity
10 candidate entities,Entity
Some scholars,Entity
Xinyu Gao,Entity
connected entities,Entity
Stefan Heimersheim,Entity
"2,000-token chunks",Entity
Yoav Levine,Entity
glucocorticoid receptor,Entity
"directed graph (V, E)",Entity
cloze examples with syntactically plausible but non-factual tokens,Entity
GraphMERT helper LLM,Entity
Original H-GAT architecture,Entity
Gemini text-embedding-004,Entity
flexible reasoning,Entity
"sequences_with_heads, triples_T_per_sequence, triple_embedding_similarity_score, similarity_threshold_alpha",Entity
79.7M parameters,Entity
LLM-generated KG pipeline,Entity
explicit semantic knowledge,Entity
semantic vocabulary,Entity
Yunfan Gao et al.,Entity
Yael Moros-Daval,Entity
Relation embeddings,Entity
we,Entity
triples conditioned on input texts,Entity
expert-verified sources,Entity
AI practice,Entity
Rebekah Tang,Entity
August 2024,Entity
augmenting knowledge graphs with large language models,Entity
podocyte-specific glucocorticoid receptor knockout (GR pKO) mice,Entity
maximize score,Entity
explicit reasoning and knowledge transfer,Entity
Chain graph leaves,Entity
semantic triples for leaf injection,Entity
Bing Li,Entity
instruction fine-tuning,Entity
Human experts,Entity
fusion of syntactic and semantic examples,Entity
construction of knowledge graphs: current state and challenges,Entity
trivially correct triples,Entity
Vinitra Swamy,Entity
leafy chain graph encoding,Entity
efficiency,Entity
Gary Marcus,Entity
seed triples,Entity
Arijit Khan,Entity
high-quality tail completion,Entity
Marvin Hofer et al.,Entity
25 epochs,Entity
well-formed triples,Entity
external KG source,Entity
their limitations,Entity
KG Injection Algorithm,Entity
insulin receptor,Entity
Domain adaptation with fine-tuning,Entity
Modern deep learning,Entity
transparency,Entity
high-dimensional vectors,Entity
Qiang Rao,Entity
"helper LLM for entity discovery, relation matching, and tail generation",Entity
independent evaluation,Entity
graph nodes,Entity
Yoav Shoham,Entity
ontology-aligned relations,Entity
raw semantic token completions into grammatically well-formed triple tails,Entity
GraphMERT framework,Entity
2025/04/01,Entity
internal GraphMERT representations,Entity
resource-intensive fine-tuning or RAG,Entity
inverse inference,Entity
UMLS Metathesaurus,Entity
Azade Nova,Entity
relationship r,Entity
attention module,Entity
Machine Learning journal,Entity
filtered benchmarks,Entity
adaptability,Entity
neurosymbolic AI,Entity
"Ori Ram, Yoav Levine, Itay Dalmedigos, Dor Muhlgay, Amnon Shashua, Kevin Leyton-Brown, Yoav Shoham",Entity
out-of-vocabulary entities,Entity
articles,Entity
attention-based embeddings for relation prediction in knowledge graphs,Entity
substantial decrease in accuracy,Entity
valid (ontology-consistent relations),Entity
learning,Entity
heads,Entity
text corpora,Entity
proposed GraphMERT pipeline,Entity
input graph class,Entity
Hallucinations,Entity
relation embedding matrix,Entity
upstream regulator,Entity
semantic tail tokens,Entity
Alejandro Ortega,Entity
insulin-like growth factor 1,Entity
domain-specific superintelligence,Entity
prediction stage,Entity
"J. Wang, Y. Liu, P. Li, Z. Lin, S. Sindakis, S. Aggarwal",Entity
Qwen3-32B,Entity
GraphMERT KG,Entity
tail subject,Entity
inter-relation representations,Entity
GPT-5,Entity
GraphRAG hierarchical design,Entity
"Proceedings of the Conference on Fairness, Accountability, and Transparency",Entity
policy-guided walks in reinforcement learning,Entity
embedding,Entity
simplicity of triples,Entity
triple extraction pipeline,Entity
arXiv:1606.08415,Entity
conservativeness,Entity
Andrés García-Silva et al.,Entity
Language models can function as knowledge bases,Entity
validity verdicts for triples,Entity
Jaccard similarity,Entity
score buckets,Entity
clean domain-specific data and diverse vocabulary,Entity
neural components,Entity
indirect abnormalities in cerebellar gray matter in CKD patients,Entity
relation diversity,Entity
naringenin,Entity
LLM KG on ICD-Bench,Entity
Jing Chen,Entity
inaccuracies in data,Entity
discrete concepts,Entity
successful tail completion,Entity
Metformin,Entity
Leafy chain graph,Entity
AI field,Entity
inter-relation attention,Entity
symbolic memory and rule repositories,Entity
ontological relation usage patterns,Entity
Jason Weston,Entity
chain graph semantic space,Entity
broader internal knowledge,Entity
serum creatinine level,Entity
leaf token,Entity
training data scale,Entity
importance of reliability,Entity
NLP field,Entity
Md Kamruzzaman Sarker,Entity
authors,Entity
directed edges E,Entity
188k,Entity
tail combination,Entity
factual grounding,Entity
attributable,Entity
out-of-scope tokens,Entity
spatial distances between graph nodes,Entity
LLM reasoning,Entity
preprocessing step 1,Entity
LLMs for knowledge graph construction and reasoning: Recent capabilities and future opportunities,Entity
spatial distances,Entity
Neurosymbolic integration,Entity
LLM-generated baseline,Entity
domain expertise,Entity
response,Entity
trust,Entity
Konrad Szocik,Entity
leaf space,Entity
GraphMERT and its equivalent KG,Entity
textembedding-004,Entity
factual relations,Entity
prompt brittleness and task-framing sensitivity,Entity
type 2 diabetes,Entity
this paradigm,Entity
40,Entity
original input sequence,Entity
transformer attention,Entity
negation,Entity
article,Entity
KG extraction from models,Entity
β-cell death,Entity
systematic relation reversal,Entity
lightweight screening,Entity
creatinine,Entity
"attributable, editable, and auditable AI",Entity
UMLS biomedical relations,Entity
character-level 3-grams,Entity
training of a transformer,Entity
higher proportion of valid triples,Entity
"Graphormer (Ying et al., 2021)",Entity
shortest path for every node pair,Entity
Qwen3-32B-FP8,Entity
user-defined threshold β,Entity
cold-start entities,Entity
head embeddings,Entity
Lechao Xiao,Entity
hallucinated entities,Entity
relationships to a predefined relation set,Entity
0.01_and_100_respectively_in_experiments,Entity
Xiaowei Xu,Entity
triple generation,Entity
Attention decay mask,Entity
no span-masking variant,Entity
outputs,Entity
Sanity screening with GPT-5 Thinking,Entity
diabetes_terms AND NOT sars-cov-2_or_covid-19 within 2019-04-01 to 2025-04-01 medline,Entity
framework,Entity
LLM's parametric knowledge,Entity
Practitioners,Entity
formal logic,Entity
filtering,Entity
43.0% yes,Entity
knowledge-aware applications,Entity
reliable KG,Entity
encoding graphs,Entity
redundant_when_tail_equals_head,Entity
schema drift,Entity
relation matching,Entity
Mohamed Yahya Jaradeh et al.,Entity
exponential function,Entity
ontology fidelity,Entity
"Qiang Rao, Tiejun Wang",Entity
extreme insulin resistance type a,Entity
top candidates,Entity
surface text,Entity
gradient-based learning,Entity
simple 'reverse test',Entity
50% removal,Entity
Methods to strengthen LLM reasoning,Entity
elimination of low-relevance triples,Entity
motivating example,Entity
injection score,Entity
learnable relation embedding matrix,Entity
information extraction pipelines for knowledge graphs,Entity
semantic leaf relation encodings,Entity
originating sequence,Entity
multi-hop chains,Entity
Jared Kaplan et al.,Entity
Attention weights,Entity
H100 GPU,Entity
discoveries via linking unconnected concepts,Entity
web search,Entity
grid search,Entity
Jack Lindsey,Entity
interpretability and auditing of neural decisions,Entity
Yubin Kim et al.,Entity
Raham Neubig,Entity
Christopher Brissette,Entity
root,Entity
masked node modeling,Entity
continuous parameter space,Entity
equivalent KG,Entity
inference,Entity
Gemini 2.5 Pro,Entity
derived embedding,Entity
tails,Entity
sequential input only,Entity
explicit graph triples from internal representations,Entity
"109,293",Entity
new domain,Entity
Neurosymbolic AI,Entity
wrong relation types or ontologically incorrect predicates,Entity
Sec. 2,Entity
injected relations,Entity
observations,Entity
Gradformer: graph transformer with exponential decay,Entity
embeddings of the neighbors,Entity
automatic evaluation,Entity
sequence encodings,Entity
more smoothly to a target domain but requires substantial data,Entity
GraphRAG query process,Entity
synthetic data quality for tool-using LLMs,Entity
Thuat Nguyen et al.,Entity
Qian Li,Entity
blog,Entity
UMLS gold triple,Entity
Disruption of β-cell ER Ca2+ homeostasis,Entity
nlrp3 pathway,Entity
scalable,Entity
observed facts,Entity
Rajan Gupta et al.,Entity
Knowledge Graphs,Entity
structured head-relation-tail triples,Entity
HybridRAG: integration of knowledge graphs and vector retrieval augmented generation for information extraction,Entity
ontological constraints,Entity
90s,Entity
one triple injected per head,Entity
entry points for retrieval of connected entities and relationships,Entity
Ori Ram,Entity
reliable domain-specific KGs,Entity
heavy feature engineering and domain expertise,Entity
Jude W. Shavlik,Entity
expert systems,Entity
limitations of GraphMERT,Entity
SapBERT,Entity
t,Entity
relation vocabulary scope,Entity
relationships,Entity
Martine De Cock,Entity
triples simplicity,Entity
Excluded UMLS relations list,Entity
Findings of the Association for Computational Linguistics,Entity
syntactic representations,Entity
Jeff Z. Pan et al.,Entity
ACL 2024,Entity
60th Annual Meeting of the Association for Computational Linguistics,Entity
compute,Entity
arXiv,Entity
Neurosymbolic AI stack,Entity
factuality errors,Entity
brain imaging,Entity
interpretability and provenance,Entity
score,Entity
MLM learning objective,Entity
model,Entity
long-range dependencies,Entity
National Science Review,Entity
complete set of triples,Entity
attention decay mask,Entity
natural language interface,Entity
limitations of LLMs,Entity
random seed 1,Entity
reasoning,Entity
semantic connections,Entity
low-information 128-token sequences,Entity
KG from no-span variant,Entity
Mayana Pereira,Entity
factuality hallucination in large language models,Entity
irrelevant top-k token predictions,Entity
Dedhia et al. (2025),Entity
GELU,Entity
noisy triples,Entity
transcription,Entity
relation injection counts,Entity
graph transformer design,Entity
Sewon Min et al.,Entity
vague tails,Entity
"Juan Qi, Rui Ray Chen, Yongchan Kwon, James Zou",Entity
Yanlai Yang,Entity
opacity,Entity
Qwen3-14B,Entity
destruction of β-cell ER Ca2+ homeostasis,Entity
May 2022,Entity
inflammasome_activation associated_with nlrp3_pathway,Entity
method,Entity
associated_with relation rather than has_finding_site,Entity
model size,Entity
Physica D: Nonlinear Phenomena,Entity
Domain-specific KG,Entity
business,Entity
predefined context window,Entity
Pascal Hitzler,Entity
diabetes retinopathy,Entity
pipeline,Entity
Dhruv Mehrotra and Tim Marchman,Entity
bucket_by_score_then_apply_maximize_diversity_within_score_buckets_then_choose_highest_scoring_per_head,Entity
relation-aware retrieval,Entity
intra-relation and inter-relation attention,Entity
indirect correlation,Entity
GraphMERT-extracted triple,Entity
faithfulness of self-explanations from large language models,Entity
Dhagash Mehta,Entity
real-world entities,Entity
Algorithm 1,Entity
Saibal Kumar Pal,Entity
Kathleen Kenealy,Entity
Anton Bakhtin,Entity
no-span variant,Entity
explicit rules over discrete concepts,Entity
multi-hop KG paths boost small language model reasoning,Entity
context,Entity
Anderson Nascimento,Entity
"Fabio Petroni, Tim Rockt&auml,schel, Sebastian Riedel, Patrick Lewis, Anton Bakhtin, Yuxiang Wu, Alexander Miller",Entity
approximations,Entity
breadth of knowledge,Entity
hidden size 512,Entity
seven leaves,Entity
40.2% FActScore,Entity
global concepts across the dataset,Entity
Sec. 8,Entity
Jia Wu,Entity
unevenly across relation types,Entity
validity check,Entity
transparent,Entity
domain fidelity,Entity
GraphMERT-extracted KG,Entity
results,Entity
leaf nodes,Entity
retraining,Entity
root node,Entity
LLM KG,Entity
limited information,Entity
querying stage,Entity
"leaf token embeddings, relation embeddings, and head token embeddings",Entity
relations into an encoder via graph attention and trains relation embeddings in semantic space,Entity
threshold,Entity
Mandar Joshi et al.,Entity
over-injecting frequent tokens,Entity
attention weights,Entity
Neurosymbolic AI: The 3rd wave,Entity
Dan Jurafsky,Entity
reliable facts,Entity
filtering process,Entity
skewed training distribution,Entity
Attention is all you need (Transformer architecture),Entity
"Ziwei Xu, Sanjay Jain, Mohan Kankanhalli",Entity
semantic representations,Entity
John McCarthy,Entity
alternative graph encodings,Entity
rules,Entity
Sebastian Riedel,Entity
formed tails (non-unique),Entity
"named entity recognition, coreference resolution, and relation extraction",Entity
LLM triples,Entity
Wenlin Zhang,Entity
medical KG triple,Entity
Stefano Pasquali,Entity
glucocorticoid receptor agonists,Entity
Naheed Anjum Arafat,Entity
Scarcity of diverse high-quality data,Entity
relationships between entities,Entity
32B-parameter LLM baseline,Entity
reliable generalization,Entity
therapeutic role,Entity
leaf positions,Entity
high-stakes domains,Entity
KG distilled from a neural network,Entity
Fine-tuning or prompting on LLMs for knowledge graph construction,Entity
Hierarchical Graph Attention Network (H-GAT),Entity
Stevan Harnad,Entity
implicitly in parameters,Entity
Alieh Saeedi,Entity
explicit inference,Entity
input graphs,Entity
Graph Transformer Architecture,Entity
Hatem Ghanem,Entity
corresponding entities,Entity
Weiqiang Zhang,Entity
effective batch size 128,Entity
encoder-only transformer,Entity
irrelevant tokens,Entity
external KG triples with target training data,Entity
Embeddings,Entity
relation buckets,Entity
this section,Entity
Seed KG sparsity,Entity
"acted_on_by_process, active_ingredient_of, associated_procedure_of, basis_of_strength_substance_of, component_of, consider_from, direct_device_of, direct_substance_of, has_associated_finding, has_finding_context, has_interpretation, has_laterality, has_realization, has_scale_type, has_specimen, has_subject_relationship_context, has_temporal_context, inverse_was_a, mapped_from, mapped_to, moved_to, negatively_regulated_by, positively_regulated_by, possibly_replaces, precise_active_ingredient_of, realization_of, regulated_by, replaced_by, replaces, was_a, has_intent, referred_to_by, refers_to, characterizes, substance_used_by, specimen_source_topography_of, specimen_substance_of, has_active_ingredient, has_property",Entity
'kidneys' as top predicted tail,Entity
obesity,Entity
Flawed data sources,Entity
José Hernández-Orallo,Entity
vocabulary transfer,Entity
gradient,Entity
D. S. J. Ting,Entity
High-stakes domains,Entity
inverse_isa,Entity
The Semantic Web,Entity
Fernando Martínez-Plumed,Entity
Ningyu Zhang,Entity
symbolic inference,Entity
TREATS,Entity
tail vagueness,Entity
Lucius Bushnaq,Entity
Joshua Batson,Entity
head tokens,Entity
law,Entity
Benika Hall,Entity
validity,Entity
Hao Zhang,Entity
mask,Entity
R. Stuart Geiger et al.,Entity
original H-GAT architecture,Entity
In-context retrieval-augmented language models,Entity
outliers,Entity
purely-neural representations,Entity
text entities to UMLS Concept Unique Identifiers,Entity
neurosymbolic AI frameworks,Entity
suitable abstractions,Entity
diversify injected relations,Entity
other approaches,Entity
Dor Muhlgay,Entity
mitigation,Entity
rigor,Entity
Circumscription as a form of non-monotonic reasoning,Entity
predecessors,Entity
matched triples,Entity
Yuxiang Wu,Entity
advice,Entity
Insulin-like growth factor 1 (IGF-1) is associated with chronic kidney disease.,Event
Our results show that GraphMERT yields higher factuality and validity of triples than LLM-based KG extraction,Event
Gary Marcus published Deep learning: A critical appraisal in 2018,Event
Scarcity of diverse high-quality data at the scale required by LLMs is a key barrier to clinical LLM deployment,Event
the selected triples align with the target domain and identify triples most relevant to the context,Event
Most KG embedding models operate on local triple patterns,Event
We do not hard-code any domain-specific parameters to the proposed GraphMERT pipeline.,Event
Missing key tokens required for high-quality tail completion,Event
IGF-1 is associated with diabetes,Event
GraphMERT depends on a helper LLM for tail combination which introduces occasional incompleteness,Event
A higher optimal β strengthens the importance of cross-document understanding for triple generation which is not possible in LLM-generated KGs,Event
Auditable and editable KGs can serve as a persistent knowledge base in sensitive domains,Event
Filter generated triples by computing semantic similarity between each triple and its source sequence with threshold β,Event
simplicity of triples can hide poorer coverage and loss of domain details,Event
transformers currently dominate the NLP field,Event
H-GAT fuses relation embeddings into semantic graph nodes,Event
naringenin is a flavonoid,Event
We evaluate the extracted KG by applying GraphRAG to the filtered benchmarks and assess accuracy based on the model's success rate in answering the questions,Event
Graham Neubig published Better synthetic data by retrieving and transforming existing datasets in August 2024,Event
"To enable training of a transformer on graphical input, the graph structure must either be encoded into the input or the attention module must be modified.",Event
The shortest path for every node pair is calculated using the Floyd-Warshall algorithm,Event
We train GraphMERT for 25 epochs on four H100 GPUs with BF16 precision,Event
Fibrosis occurs,Event
we measure relation diversity by the number of unique triples that contain the relation,Event
Removing knowledge from LLMs requires complex interventions and sophisticated strategies,Event
Recent work shows GraphRAG outperforms vector RAG and HybridRAG on arXiv datasets with superior factual accuracy and reasoning,Event
Compute a semantic relevance score for each triple with respect to the original input sequence,Event
Removal of either dropout or H-GAT leads to a substantial decrease in accuracy,Event
The retrieved data sources are ranked and filtered to fit within a single predefined context window,Event
"Marvin Hofer, Daniel Obraczka, Alieh Saeedi, Hanna Köpcke, and Erhard Rahm. Construction of knowledge graphs: Current state and challenges.",Event
"Lee Sharkey, Bilal Chughtai, Joshua Batson, Jack Lindsey, Jeff Wu, Lucius Bushnaq, Nicholas GoldowskyDill, Stefan Heimersheim, Alejandro Ortega, Joseph Bloom, and others published 'Open problems in mechanistic interpretability' in 2025 on arXiv.",Event
"For each KG, triples with heads containing 'insulin-like growth factor 1 (IGF-1)' and 'glucocorticoid receptor (GR)' were retrieved for human-inspectable samples",Event
Insulin-like growth factor 1 level is associated with growth hormone treatment.,Event
"Yann LeCun, Yoshua Bengio, and Geoffrey Hinton published Deep learning in Nature in 2015",Event
fine-tuning adapts models to the domains they are trained on,Event
"Traditional AI research overwhelmingly associates reasoning with purely symbolic systems, such as expert systems or logic-based AI.",Event
The embedding block fuses every leaf token embedding with its relation and all its head tokens via H-GAT,Event
has_laterality was given as an example of a relation with very few possible tails,Event
The LLM KG shows more relation misuse and ontology violations reflected in a greater share of maybe and no verdicts,Event
We can compare entity names using standard set-based similarity metrics,Event
Symbolic and neural learning algorithms: An experimental comparison was published in 1991,Event
Neural approaches rely on multidimensional embeddings and approximate knowledge grounding,Event
Naringenin is a flavonoid,Event
LLMs are brittle with respect to prompts and instruction fine-tuning does not fully address this problem,Event
prompt-based KG distillation from an LLM's weights does not provide source attribution,Event
Even with 75% of the seed knowledge removed GraphMERT still outperforms the baseline LLM KG by 3.86%,Event
Emergent abilities of large language models was published in 2022,Event
High-quality data are scarce,Event
"Leaves of the same root are connected, introducing a shortest-path linkage between them",Event
This process begins by identifying a set of entities within the KG that are semantically related to the user query.,Event
training totals 90 GPU hours,Event
The variant without span-masking performs slightly worse,Event
The destruction of β-cell ER Ca2+ homeostasis results in impaired insulin secretion and further promotion of β-cell death.,Event
"In Sec. 4, we give a detailed overview of our proposed GraphMERT framework and its architecture",Event
"Unifying knowledge graphs (KGs) with LLMs could help overcome some of these limitations because KGs encode knowledge in structured, verifiable head-relation-tail triples.",Event
Entity linking uses SapBERT to produce vector embeddings for discovered entities and UMLS entities,Event
Insulin-like growth factor 1 is associated with diabetes.,Event
"islet cell transplant, has_method, surgical transplantation",Event
We denote the modified prompt-based evaluation as FActScore*.,Event
A lightweight screening with GPT-5 Thinking was run on small comparable samples from each KG as a sanity check complementary to benchmark-based verification,Event
"For example, 〈Metformin, TREATS, Type 2 Diabetes〉 is one of the triples in the toy KG.",Event
Yield fewer but more sequence-specific triples often explicitly included in the text,Event
Two key similarity thresholds control injections: injection threshold α determines relevance of seed triples used for training and acceptance threshold β filters final triples generated by the pipeline,Event
Ask the model to predict the masked tail tokens and obtain top-k candidate tokens,Event
"GraphMERT enables efficient, scalable, transparent, attributable, accountable, editable, auditable, and continually improvable state-of-the-art neurosymbolic AI.",Event
Embedding-based approaches face limitations due to sparsity limited information and vocabulary scale mismatches,Event
The two core components of GraphMERT that encapsulate graph encoding are the input embedding layer and the attention decay mask,Event
we strengthen triple evaluation with validity in the prompt,Event
The proposed GraphMERT is a RoBERTa-style encoder-only transformer integrated with H-GAT trained with the MLM + MNM objective,Event
In the GraphRAG indexing stage an LLM builds an entity-level KG and then partitions the graph into a hierarchy of nested communities,Event
they would inflate the score,Event
GraphMERT is trained on the fusion of syntactic and semantic examples and augments syntactic data with semantic tails,Event
non-alcoholic fatty liver disease is associated with obesity,Event
"the input graph class can be described using node encoding, semantic leaf relation encodings, and spatial distances",Event
Neurosymbolic AI is a synthesis that aims to combine the flexibility of neural models with the rigor and interpretability of symbolic systems.,Event
Language models as knowledge bases? was published in 2019,Event
Replacing standard RAG with GraphRAG,Event
"In Proceedings of the Conference on Fairness, Accountability, and Transparency.",Event
Rank each linked entity's associated triples by semantic relevance scores and retain the top 40 triples,Event
We train the model for 25 epochs on four H100 GPUs with BF16 precision totaling 90 GPU hours using an instantaneous batch size of 32 per GPU and effective batch size of 128 via gradient accumulation.,Event
relation embeddings must receive gradients from the entire tail to capture its full meaning,Event
In the semantic space we mask all the leaf tokens whenever a leaf span is selected,Event
For each KG we retrieved all triples whose head contains the keywords 'insulin-like growth factor 1 (IGF-1)' and 'glucocorticoid receptor (GR)',Event
"Vinitra Swamy, Angelika Romanou, and Martin Jaggi published 'Interpreting language models through knowledge graph extraction' in 2021 on arXiv.",Event
"KGs address interpretability, verifiability, and factuality gaps in modern AI systems",Event
Flawed data sources with misinformation and biases are a primary driver of hallucinations,Event
We prompt strong general-purpose LLMs to infer the triple from the sentence,Event
"Lower alpha values introduce noisy, contextually irrelevant triples",Event
"Symbolic systems struggle with ambiguity, contextualization, and the fluidity of real-world knowledge",Event
GraphMERT jointly learns semantic representations from a seed KG and syntactic representations from text,Event
