:START_ID,:END_ID,relation,concepts,synsets,:TYPE
We do both: (1) encode relation embedding into input graph sequences and (2) modify attention weights to reflect spatial distance in input graphs.,spatial distance,is participated by,[],[],Relation
We do both: (1) encode relation embedding into input graph sequences and (2) modify attention weights to reflect spatial distance in input graphs.,input graphs,is participated by,[],[],Relation
"To implement our model, we take inspiration from Graphormer (Ying et al., 2021) but design alternative graph encodings tailored to language tasks as well.",our model,is participated by,[],[],Relation
"To implement our model, we take inspiration from Graphormer (Ying et al., 2021) but design alternative graph encodings tailored to language tasks as well.",Graphormer,is participated by,[],[],Relation
"To implement our model, we take inspiration from Graphormer (Ying et al., 2021) but design alternative graph encodings tailored to language tasks as well.",alternative graph encodings,is participated by,[],[],Relation
"To implement our model, we take inspiration from Graphormer (Ying et al., 2021) but design alternative graph encodings tailored to language tasks as well.",language tasks,is participated by,[],[],Relation
"To incorporate semantic relations into GraphMERT, we combine a generic transformer architecture with a hierarchical graph attention network (H-GAT).",semantic relations,is participated by,[],[],Relation
"To incorporate semantic relations into GraphMERT, we combine a generic transformer architecture with a hierarchical graph attention network (H-GAT).",GraphMERT,is participated by,[],[],Relation
"To incorporate semantic relations into GraphMERT, we combine a generic transformer architecture with a hierarchical graph attention network (H-GAT).",generic transformer architecture,is participated by,[],[],Relation
"To incorporate semantic relations into GraphMERT, we combine a generic transformer architecture with a hierarchical graph attention network (H-GAT).",hierarchical graph attention network,is participated by,[],[],Relation
"To incorporate semantic relations into GraphMERT, we combine a generic transformer architecture with a hierarchical graph attention network (H-GAT).",H-GAT,is participated by,[],[],Relation
H-GAT fuses relation embeddings into semantic graph nodes before passing the graph sequences to the transformer layers.,H-GAT,is participated by,[],[],Relation
H-GAT fuses relation embeddings into semantic graph nodes before passing the graph sequences to the transformer layers.,relation embeddings,is participated by,[],[],Relation
H-GAT fuses relation embeddings into semantic graph nodes before passing the graph sequences to the transformer layers.,semantic graph nodes,is participated by,[],[],Relation
H-GAT fuses relation embeddings into semantic graph nodes before passing the graph sequences to the transformer layers.,graph sequences,is participated by,[],[],Relation
H-GAT fuses relation embeddings into semantic graph nodes before passing the graph sequences to the transformer layers.,transformer layers,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,original H-GAT architecture,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,intra-relation attention,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,inter-relation attention,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,node embeddings,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,embeddings of the neighbors,is participated by,[],[],Relation
The original H-GAT architecture hierarchically combines intra-relation and inter-relation attention to derive node embeddings by aggregating the embeddings of the neighbors of the graph node.,graph node,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",H-GAT,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",input,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",inter-relation representations,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",simplified architecture,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",token embeddings,is participated by,[],[],Relation
"To tailor H-GAT to our input, we discard the unnecessary inter-relation representations and use the simplified architecture with token embeddings instead of graph node embeddings.",graph node embeddings,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",GraphMERT implementation,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",triple,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",h,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",r,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",t,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",head,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",relation,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",tail,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",head tokens {h1..hm},is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",tail tokens {t1..tn},is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",tail token ti,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",Wr,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",relation embedding matrix,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",ar,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",relation embedding,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",LeakyReLU,is participated by,[],[],Relation
"In the GraphMERT implementation, given a triple < h, r, t > - head, relation, tail, where head and tail are represented by { h1, .., hm } and { t1, .., tn } at the token level, for any given tail token ti we have: where Wr is a learnable relation embedding matrix, ar is a learnable relation embedding, and LeakyReLU is an activation function.",activation function,is participated by,[],[],Relation
Then the final node embedding for the tail token is given by:,final node embedding,is participated by,[],[],Relation
Then the final node embedding for the tail token is given by:,tail token,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",new tail token t'i,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",relation embedding,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",Wr,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",ar,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",initial tail token embedding ti,is participated by,[],[],Relation
"Thus, the new tail token t'i fuses the relation embedding via Wr and ar with its initial tail token embedding ti and all head token embeddings { h1, ..., hm }.",head token embeddings {h1..hm},is participated by,[],[],Relation
What follows is a motivating example to demonstrate the importance of reliability in our proposed pipeline.,motivating example,is participated by,[],[],Relation
What follows is a motivating example to demonstrate the importance of reliability in our proposed pipeline.,importance of reliability,is participated by,[],[],Relation
What follows is a motivating example to demonstrate the importance of reliability in our proposed pipeline.,proposed pipeline,is participated by,[],[],Relation
"To do this, we design a simple 'reverse test' using Unified Medical Language System (UMLS) triples.",we,is participated by,[],[],Relation
"To do this, we design a simple 'reverse test' using Unified Medical Language System (UMLS) triples.",simple 'reverse test',is participated by,[],[],Relation
"To do this, we design a simple 'reverse test' using Unified Medical Language System (UMLS) triples.",Unified Medical Language System,is participated by,[],[],Relation
"To do this, we design a simple 'reverse test' using Unified Medical Language System (UMLS) triples.",UMLS triples,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",we,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",ground-truth triple,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",UMLS,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",chronic kidney disease,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",has_finding_site,is participated by,[],[],Relation
"First, we sample a ground-truth triple from UMLS: 〈 chronic kidney disease, has_finding_site, kidney structure 〉.",kidney structure,is participated by,[],[],Relation
"Next, we manually create a sequence that implies a weak connection between CKD and cerebellar gray matter abnormalities.",we,is participated by,[],[],Relation
"Next, we manually create a sequence that implies a weak connection between CKD and cerebellar gray matter abnormalities.",manually created sequence,is participated by,[],[],Relation
"Next, we manually create a sequence that implies a weak connection between CKD and cerebellar gray matter abnormalities.",CKD,is participated by,[],[],Relation
"Next, we manually create a sequence that implies a weak connection between CKD and cerebellar gray matter abnormalities.",cerebellar gray matter abnormalities,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",we,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",sequence,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",recent medical studies,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",brain imaging,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",patients with CKD,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",indirect abnormalities,is participated by,[],[],Relation
"We craft this sequence so that it reflects recent medical studies on brain imaging in patients with CKD, which show indirect abnormalities in the cerebellar gray matter.",cerebellar gray matter,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",indirect correlation,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",logical triple,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",chronic kidney disease,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",has_finding_site,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",kidney structure,is participated by,[],[],Relation
"Even with this indirect correlation, the logical triple should remain 〈 chronic kidney disease, has_finding_site, kidney structure 〉, as found in UMLS.",UMLS,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",we,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",general-purpose LLMs,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",Gemini 2.5 Pro,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",Claude Sonnet 4.5,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",GPT-5,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",Grok 4,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",triple,is participated by,[],[],Relation
"Next, we prompt strong general-purpose LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, and Grok 4) to infer the triple from the sentence.",sentence,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",models,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",fluent rationales,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",hallucinated relations,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",ontologically invalid outputs,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",triples,is participated by,[],[],Relation
"Despite fluent rationales, these models frequently hallucinate relations or return ontologically invalid outputs, yielding triples that are non-factual or misaligned with UMLS constraints.",UMLS constraints,is participated by,[],[],Relation
Their outputs seem to show spurious correlations instead of semantic connections.,their outputs,is participated by,[],[],Relation
Their outputs seem to show spurious correlations instead of semantic connections.,spurious correlations,is participated by,[],[],Relation
Their outputs seem to show spurious correlations instead of semantic connections.,semantic connections,is participated by,[],[],Relation
"In contrast, our GraphMERT model, trained as detailed in the following sections, recovers the correct UMLS triple from the same sentence.",GraphMERT model,is participated by,[],[],Relation
"In contrast, our GraphMERT model, trained as detailed in the following sections, recovers the correct UMLS triple from the same sentence.",training,is participated by,[],[],Relation
"In contrast, our GraphMERT model, trained as detailed in the following sections, recovers the correct UMLS triple from the same sentence.",following sections,is participated by,[],[],Relation
"In contrast, our GraphMERT model, trained as detailed in the following sections, recovers the correct UMLS triple from the same sentence.",correct UMLS triple,is participated by,[],[],Relation
"In contrast, our GraphMERT model, trained as detailed in the following sections, recovers the correct UMLS triple from the same sentence.",sentence,is participated by,[],[],Relation
This example underscores that adhering to biomedical ontologies matters.,example,is participated by,[],[],Relation
This example underscores that adhering to biomedical ontologies matters.,adhering to biomedical ontologies,is participated by,[],[],Relation
Terms like 'gray matter' should be used with an associated_with relation rather than being miscast with finding_site.,terms 'gray matter',is participated by,[],[],Relation
Terms like 'gray matter' should be used with an associated_with relation rather than being miscast with finding_site.,associated_with relation,is participated by,[],[],Relation
Terms like 'gray matter' should be used with an associated_with relation rather than being miscast with finding_site.,finding_site,is participated by,[],[],Relation
Structure-aware training is essential for preventing such errors.,structure-aware training,is participated by,[],[],Relation
Structure-aware training is essential for preventing such errors.,errors,is participated by,[],[],Relation
This is only possible with the proposed GraphMERT pipeline.,proposed GraphMERT pipeline,is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",medical KG triple,is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",chronic kidney disease,is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",has_finding_site,is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",sequence,is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",Chronic kidney disease (CKD),is participated by,[],[],Relation
"Please complete the following medical KG triple (head, relation, tail): (chronic kidney disease, has_finding_site, ...) based on the sequence: Chronic kidney disease (CKD) is a renal disorder.",renal disorder,is participated by,[],[],Relation
GraphMERT,H-GAT,integrates,[],[],Relation
GraphMERT,RoBERTa-style encoder-only transformer,is based on,[],[],Relation
GraphMERT,MLM + MNM objectives,is trained with,[],[],Relation
Leafy chain graph,syntactic space and semantic space,unifies,[],[],Relation
Chain graph roots,syntactic space,reside in,[],[],Relation
Chain graph leaves,semantic tail nodes from seed KG,represent,[],[],Relation
H-GAT,"leaf token embeddings, relation embeddings, and head token embeddings",fuses,[],[],Relation
Embedding layer,initial leaf embeddings with derived semantic embeddings,replaces,[],[],Relation
Attention decay mask,spatial distances between graph nodes,encodes,[],[],Relation
Exponential decay mask,shortest-path distances with square-rooted exponent,uses,[],[],Relation
Floyd-Warshall algorithm,shortest path for every node pair,computes,[],[],Relation
Masking schema for leaves,entire leaf spans rather than subsets,masks,[],[],Relation
Relation embeddings,backpropagation through H-GAT from masked leaves,are trained via,[],[],Relation
Seed KG,semantic triples for leaf injection,supplies,[],[],Relation
Seed KG,clean domain-specific data and diverse vocabulary,must contain,[],[],Relation
Data cleaning,hallucinations during KG extraction,reduces,[],[],Relation
Similarity filter,external KG triples with target training data,aligns,[],[],Relation
Helper LLM,domain-specific head discovery,assists in,[],[],Relation
Entity linking pipeline,text entities to UMLS Concept Unique Identifiers,maps,[],[],Relation
SapBERT,vector embeddings for biomedical terms,produces,[],[],Relation
ANN algorithm,top-k similar UMLS entity embeddings,retrieves,[],[],Relation
Span-masking schema,alignment among top-k tokens predicted within a leaf,tightens,[],[],Relation
Attention weights,exponential decay mask,are multiplied by,[],[],Relation
Dropout on relation embeddings,overfitting on scarce semantic examples,prevents,[],[],Relation
GraphMERT predicts a masked tail to complete a triple,it is designed as a masked node modeling (MNM) task,because,[],[],Relation
GraphMERT learns syntactic representations from text corpora via the MLM learning objective,GraphMERT predicts masked tails with MNM,at the same time,[],[],Relation
We create a new textual data format that encapsulates semantic triples,GraphMERT can perform encoder-only extraction,so that,[],[],Relation
GraphMERT performs syntactic-to-semantic knowledge conversion during prediction,the sentences in the dataset represent the syntactic space and the KG triples represent the semantic space,because,[],[],Relation
We propose leafy chain graph encoding that unifies the semantic and syntactic representations,chain graph roots lie in the syntactic space and leaves lie in the semantic space,as a result,[],[],Relation
Leaves play a crucial role in training semantic relation embeddings,they carry injected semantic tail tokens from the seed KG,because,[],[],Relation
All chain graphs have a fixed number of root nodes and a fixed number of leaves per root node,"the input graph class can be described using node encoding, semantic leaf relation encodings, and spatial distances",as a result,[],[],Relation
We parse the dataset into chain graphs with <pad> tokens in all leaf positions keeping only root nodes non-empty,we populate the empty leaves with semantic nodes and their relations from the seed KG,before,[],[],Relation
Most leaf nodes are pads while some contain semantic tail tokens from the seed KG,the graphical input has regularity that simplifies the choice of graph encodings,as a result,[],[],Relation
GraphMERT is a RoBERTa-style encoder-only transformer integrated with H-GAT,it is trained with the MLM + MNM objective,and,[],[],Relation
"H-GAT fuses leaves, relations, and head embeddings resulting in fused node features",the derived embedding replaces the initial leaf embedding encoding the whole semantic triple,so that,[],[],Relation
Masking leaf nodes enables the training of relation embeddings with backpropagation,gradients flow back to relation embeddings through H-GAT during training,because,[],[],Relation
The attention decay mask encodes the spatial distance between graph nodes,attention between two nodes decreases with respect to their distance,so that,[],[],Relation
We introduce a square root in the exponent of the exponential mask,vocabulary sequence graphs experimentally need a smoother attention decay with respect to the shortest path,because,[],[],Relation
GraphMERT jointly pretrains using MLM over syntactic tokens and MNM over semantic leaves,the transformer token encoder is coupled with the H-GAT relation encoder aligning surface form and KG semantics,as a result,[],[],Relation
In the semantic space we mask all the leaf tokens whenever a leaf span is selected,relation embeddings must receive gradients from the entire tail to capture its full meaning,because,[],[],Relation
The seed KG is a set of domain-specific triples that serve as initial relation examples,the seed KG defines the relation set for the extracted KG,as a result,[],[],Relation
We apply a similarity filter to the seed KG against the training data,the selected triples align with the target domain and identify triples most relevant to the context,so that,[],[],Relation
For domain-specific head discovery in the dataset we use a helper LLM,we obtain candidate mappings to position triples within the semantic space,and,[],[],Relation
Entity linking uses SapBERT to produce vector embeddings for discovered entities and UMLS entities,we can efficiently retrieve similar UMLS concepts using an ANN algorithm,so that,[],[],Relation
"To complete a triple, it predicts a masked tail",GraphMERT,is participated by,[],[],Relation
"To complete a triple, it predicts a masked tail",triple,is participated by,[],[],Relation
"To complete a triple, it predicts a masked tail",masked tail,is participated by,[],[],Relation
"To complete a triple, it predicts a masked tail",KG,is participated by,[],[],Relation
GraphMERT also learns syntactic representations from text corpora via the MLM learning objective,GraphMERT,is participated by,[],[],Relation
GraphMERT also learns syntactic representations from text corpora via the MLM learning objective,syntactic representations,is participated by,[],[],Relation
GraphMERT also learns syntactic representations from text corpora via the MLM learning objective,text corpora,is participated by,[],[],Relation
GraphMERT also learns syntactic representations from text corpora via the MLM learning objective,MLM learning objective,is participated by,[],[],Relation
We create a new textual data format that encapsulates semantic triples and engineer GraphMERT to work in this space,we,is participated by,[],[],Relation
We create a new textual data format that encapsulates semantic triples and engineer GraphMERT to work in this space,new textual data format,is participated by,[],[],Relation
We create a new textual data format that encapsulates semantic triples and engineer GraphMERT to work in this space,semantic triples,is participated by,[],[],Relation
We create a new textual data format that encapsulates semantic triples and engineer GraphMERT to work in this space,GraphMERT,is participated by,[],[],Relation
GraphMERT performs syntactic-to-semantic knowledge conversion during prediction,GraphMERT,is participated by,[],[],Relation
GraphMERT performs syntactic-to-semantic knowledge conversion during prediction,syntactic space,is participated by,[],[],Relation
GraphMERT performs syntactic-to-semantic knowledge conversion during prediction,semantic space,is participated by,[],[],Relation
The sentences in the dataset represent the syntactic space,sentences,is participated by,[],[],Relation
The sentences in the dataset represent the syntactic space,dataset,is participated by,[],[],Relation
The sentences in the dataset represent the syntactic space,syntactic space,is participated by,[],[],Relation
The KG triples represent the semantic space,KG triples,is participated by,[],[],Relation
The KG triples represent the semantic space,semantic space,is participated by,[],[],Relation
We propose leafy chain graph encoding that unifies the semantic and syntactic representations into a joint representation,we,is participated by,[],[],Relation
We propose leafy chain graph encoding that unifies the semantic and syntactic representations into a joint representation,leafy chain graph encoding,is participated by,[],[],Relation
We propose leafy chain graph encoding that unifies the semantic and syntactic representations into a joint representation,semantic representations,is participated by,[],[],Relation
We propose leafy chain graph encoding that unifies the semantic and syntactic representations into a joint representation,syntactic representations,is participated by,[],[],Relation
"Chain graph roots lie in the syntactic space and leaves, along with their relations, lie in the semantic space",chain graph roots,is participated by,[],[],Relation
"Chain graph roots lie in the syntactic space and leaves, along with their relations, lie in the semantic space",syntactic space,is participated by,[],[],Relation
"Chain graph roots lie in the syntactic space and leaves, along with their relations, lie in the semantic space",leaves,is participated by,[],[],Relation
"Chain graph roots lie in the syntactic space and leaves, along with their relations, lie in the semantic space",relations,is participated by,[],[],Relation
"Chain graph roots lie in the syntactic space and leaves, along with their relations, lie in the semantic space",semantic space,is participated by,[],[],Relation
Leaves play a crucial role in training semantic relation embeddings,leaves,is participated by,[],[],Relation
Leaves play a crucial role in training semantic relation embeddings,semantic relation embeddings,is participated by,[],[],Relation
Leaves play a crucial role in training semantic relation embeddings,training,is participated by,[],[],Relation
All chain graphs have a fixed number of root nodes and the number of leaves per root node is also fixed,chain graphs,is participated by,[],[],Relation
All chain graphs have a fixed number of root nodes and the number of leaves per root node is also fixed,root nodes,is participated by,[],[],Relation
All chain graphs have a fixed number of root nodes and the number of leaves per root node is also fixed,leaves,is participated by,[],[],Relation
"Leaves of the same root are connected, introducing a shortest-path linkage between them",leaves,is participated by,[],[],Relation
"Leaves of the same root are connected, introducing a shortest-path linkage between them",root,is participated by,[],[],Relation
"Leaves of the same root are connected, introducing a shortest-path linkage between them",shortest-path linkage,is participated by,[],[],Relation
All edges are undirected,edges,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",we,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",dataset,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",chain graphs,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",<pad> tokens,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",leaf positions,is participated by,[],[],Relation
"We parse the dataset into chain graphs with <pad> tokens in all leaf positions, keeping only root nodes non-empty",root nodes,is participated by,[],[],Relation
We populate the empty leaves with semantic nodes and their relations from the seed KG in a separate pipeline step,we,is participated by,[],[],Relation
